,,,,,,,,,,,,,,,,,
,"Перемагає кандидат ""b""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,6. Правило Кондорсе,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Перевіримо такі пари,,>,<,Переможець:,,Процедура Кондорсе. Для заданої таблиці результатів голосування (таблиці переваг) переможцем за Кондорсе,,,,,,,,,,
,,a i b,15,10,a,,"називається кандидат, що перемагає будь-якого іншого кандидата при парному порівнянні за правилом більшості.",,,,,,,,,,
,,a i c,15,10,a,,,,,,,,,,,,
,,a i d,15,10,a,,,,,,,,,,,,
,,b i c,14,11,b,,,,,,,,,,,,
,,b i d,11,14,d,,,,,,,,,,,,
,,c i d,11,14,d,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Маємо,"a>b, a>c, a>d, b>c, d>b, d>c",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"a>b, b>c",,,,,,,,,,,,,,,
,,a>c,,,,,,,,,,,,,,,
,," a>d, d>b, d>c",,,,,,,,,,,,,,,
,," a>d, d>b",,,,,,,,,,,,,,,
,," a>d, d>c",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможець ""а"", оскільки a>b, a>c, a>d",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,7. Правило Копленда,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Нарахуємо бали за перемогу ,,,,,,,,,,,,,,,,
,,,Програвші,,,,,,,,,,,,,,
,,,a,b,c,d,Сумуваня балів ,,,,,,,,,,
,Переможці,a,-,1,1,1,3,,,,,,,,,,
,,b,0,-,1,0,1,,,,,,,,,,
,,c,0,0,-,0,0,,,,,,,,,,
,,d,0,1,1,-,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможець ""а""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,8. Правило Сімпсона,,,,,,"Правило Сімпсона (або метод мінімаксу) — це метод визначення переможця у теорії голосувань, який обирає кандидата,",,,,,,,,,,
,,,,,,, що зазнав найменшої максимальної поразки в парних порівняннях.,,,,,,,,,,
,Перевіримо такі пари,,>,<,Переможець:,," Він спрямований на зменшення впливу сильних опонентів, обираючи того, хто краще за інших витримує конкуренцію.",,,,,,,,,,
,,a i b,15,10,a,,,,,,,,,,,,
,,a i c,15,10,a,,,,,,,,,,,,
,,a i d,15,10,a,,,,,,,,,,,,
,,b i c,14,11,b,,,,,,,,,,,,
,,b i d,11,14,d,,,,,,,,,,,,
,,c i d,11,14,d,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"""j"" в порівнянні з ""i""  віддали ** голосів",,,,,,,,,,,,,,,
,,a,b,c,d,,,,,,,,,,,,
,a,-,10,10,10,,,,,,,,,,,,
,b,15,-,11,14,,,,,,,,,,,,
,c,15,14,-,14,,,,,,,,,,,,
,d,15,11,11,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Потрібен мінімум по стовпчиках,,,,,,,,,,,,,,,,
,Тому ,,,,,,,,,,,,,,,,
,"Переможців b, c, d  можна вважати рівноцінними переможцями ",,,,,,,,,,,,,,,,
